RA;TEL1;TEL2;TEL3;ENDERECO;ROTA;OBSERVACOES
1203063556SP;;;;;;
1163714367SP;;;;;;
1201551961SP;;;;;;
1165852056SP;;;;;;
1154951728SP;;;;;;
1147748718SP;;;;;;
1159046128SP;;;;;;
1160473432SP;;;;;;
;;;;;;
999999999999s;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
cadastradopeloform;;;;;;
4444;139982828;139382828;3854-8383;Rua Bico do Pato;Centro;O Pai tem restrição
18022024sp;13999000;13997888;3854000;Rua Iguape, Vila Vitoria;Não Utiliza;Nunca ganhou uma copa do mundo
777222888;1399999999;13999990;38540000;Rua Hollyweed;Centro;Musica do Gorillaz
69692424;139976363663636;3854190;190;Predinho das drogas;Não Utiliza;Doidão da cabeça 
